lon,lat,name,id,reading,writing,math
-73.986051,40.713362,"HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",01M292,355,363,404
-73.984128,40.712269,"UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",01M448,383,366,423
-73.982472,40.729152,"EAST SIDE COMMUNITY SCHOOL",01M450,377,370,402
-73.990468,40.722415,"FORSYTH SATELLITE ACADEMY",01M458,414,359,401
-73.986038,40.72004,"MARTA VALLE HIGH SCHOOL",01M509,390,384,433
-73.986038,40.72004,"LOWER EAST SIDE PREPARATORY HIGH SCHOOL",01M515,332,316,557
-73.979581,40.719416,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",01M539,522,525,574
-73.990468,40.722415,"CASCADES HIGH SCHOOL",01M650,417,411,418
-73.976093,40.718276,"BARD HIGH SCHOOL EARLY COLLEGE",01M696,624,628,604
-73.981329,40.738374,"47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",02M047,395,387,400
-73.9927,40.765474,"FOOD AND FINANCE HIGH SCHOOL",02M288,409,392,393
-73.989329,40.717329,"ESSEX STREET ACADEMY",02M294,394,378,384
-73.9927,40.765474,"HIGH SCHOOL OF HOSPITALITY MANAGEMENT",02M296,374,362,375
-73.993607,40.716231,"PACE HIGH SCHOOL",02M298,423,432,438
-73.9927,40.765474,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",02M300,404,416,449
-73.9927,40.765474,"FACING HISTORY SCHOOL, THE",02M303,353,340,358
-73.989329,40.717329,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",02M305,375,385,388
-73.989329,40.717329,"LOWER MANHATTAN ARTS ACADEMY",02M308,403,405,392
-74.00254,40.743407,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",02M313,408,390,390
-74.013303,40.705688,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",02M316,373,384,370
-73.987064,40.735361,"GRAMERCY ARTS HIGH SCHOOL",02M374,391,394,391
-74.005058,40.72463,"NYC ISCHOOL",02M376,473,479,483
-74.00254,40.743407,"MANHATTAN BUSINESS ACADEMY",02M392,s,s,s
-73.990318,40.763655,"BUSINESS OF SPORTS SCHOOL",02M393,s,s,s
-73.993607,40.716231,"EMMA LAZARUS HIGH SCHOOL",02M394,319,357,512
-73.987064,40.735361,"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",02M399,s,s,s
-73.98861,40.767848,"HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",02M400,465,461,493
-73.98259,40.732665,"INSTITUTE FOR COLLABORATIVE EDUCATION",02M407,492,467,465
-73.988665,40.761327,"PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",02M408,509,523,490
-73.985723,40.741888,"BARUCH COLLEGE CAMPUS HIGH SCHOOL",02M411,496,518,563
-74.002222,40.742512,"N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES",02M412,537,550,590
-73.985323,40.739121,"SCHOOL OF THE FUTURE HIGH SCHOOL",02M413,517,515,533
-74.002222,40.742512,"N.Y.C. MUSEUM SCHOOL",02M414,468,459,492
-73.953276,40.770288,"ELEANOR ROOSEVELT HIGH SCHOOL",02M416,572,592,594
-74.011202,40.704697,"MILLENNIUM HIGH SCHOOL",02M418,528,533,553
-74.00254,40.743407,"LANDMARK HIGH SCHOOL",02M419,390,381,399
-73.98259,40.732665,"HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES",02M420,429,428,449
-74.012465,40.708971,"LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL",02M425,416,391,426
-73.98107,40.74651,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",02M427,s,s,s
-74.00254,40.743407,"HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES",02M437,s,s,s
-73.987064,40.735361,"INTERNATIONAL HIGH SCHOOL AT UNION SQUARE",02M438,s,s,s
-73.991966,40.741963,"MANHATTAN VILLAGE ACADEMY",02M439,441,458,473
-73.959777,40.765638,"VANGUARD HIGH SCHOOL",02M449,395,388,416
-73.959777,40.765638,"MANHATTAN INTERNATIONAL HIGH SCHOOL",02M459,376,391,460
-74.013921,40.718025,"STUYVESANT HIGH SCHOOL",02M475,679,682,735
-74.012328,40.70927,"HIGH SCHOOL OF ECONOMICS AND FINANCE",02M489,443,442,489
-73.98107,40.74651,"UNITY CENTER FOR URBAN TECHNOLOGIES",02M500,370,351,349
-73.959777,40.765638,"TALENT UNLIMITED HIGH SCHOOL",02M519,469,475,472
-74.000851,40.711441,"MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS",02M520,407,393,440
-73.98346,40.757626,"JACQUELINE KENNEDY ONASSIS HIGH SCHOOL",02M529,414,400,425
-73.984381,40.756089,"REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS",02M531,429,420,404
-73.9927,40.765474,"MANHATTAN BRIDGES HIGH SCHOOL",02M542,336,344,378
-73.989329,40.717329,"NEW DESIGN HIGH SCHOOL",02M543,391,382,395
-73.98861,40.767848,"INDEPENDENCE HIGH SCHOOL",02M544,389,335,371
-73.989329,40.717329,"HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES",02M545,412,431,581
-74.000238,40.74182,"LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS",02M550,368,352,436
-74.018941,40.689493,"THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL",02M551,405,384,423
-74.006155,40.729052,"HIGH SCHOOL M560 s CITY AS SCHOOL",02M560,498,477,440
-73.959777,40.765638,"URBAN ACADEMY LABORATORY HIGH SCHOOL",02M565,527,512,508
-73.990562,40.747425,"SATELLITE ACADEMY HIGH SCHOOL",02M570,350,345,337
-73.984333,40.732699,"MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL",02M575,345,343,517
-74.013303,40.705688,"RICHARD R. GREEN HIGH SCHOOL OF TEACHING",02M580,408,403,384
-73.992343,40.729661,"HARVEY MILK HIGH SCHOOL",02M586,458,429,416
-73.996354,40.745677,"THE HIGH SCHOOL OF FASHION INDUSTRIES",02M600,423,411,423
-74.00254,40.743407,"HUMANITIES PREPARATORY ACADEMY",02M605,426,426,403
-74.005058,40.72463,"CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",02M615,399,390,418
-73.990318,40.763655,"HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS",02M625,395,376,382
-73.967204,40.759248,"ART AND DESIGN HIGH SCHOOL",02M630,444,430,441
-73.945933,40.783286,"LIFE SCIENCES SECONDARY SCHOOL",02M655,409,403,424
-73.985608,40.774891,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",03M299,374,374,384
-73.985608,40.774891,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",03M307,384,370,390
-73.974483,40.786134,"THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS",03M402,s,s,s
-73.974483,40.786134,"THE GLOBAL LEARNING COLLABORATIVE",03M403,s,s,s
-73.974483,40.786134,"INNOVATION DIPLOMA PLUS",03M404,416,381,403
-73.954152,40.80261,"WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS",03M415,371,370,368
-73.974483,40.786134,"FRANK MCCOURT HIGH SCHOOL",03M417,s,s,s
-73.996262,40.760858,"BEACON HIGH SCHOOL",03M479,577,592,575
-73.985976,40.774202,"FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS",03M485,566,577,564
-73.985608,40.774891,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",03M492,396,402,398
-73.985608,40.774891,"HIGH SCHOOL OF ARTS AND TECHNOLOGY",03M494,433,411,433
-73.966779,40.797136,"EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL",03M505,401,351,369
-73.985608,40.774891,"MANHATTAN / HUNTER SCIENCE HIGH SCHOOL",03M541,473,467,506
-73.954152,40.80261,"FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL",03M860,356,361,379
-73.93374,40.799265,"COALITION SCHOOL FOR SOCIAL CHANGE",04M409,354,373,357
-73.932868,40.794184,"MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS",04M435,461,455,514
-73.944092,40.790191,"PARK EAST HIGH SCHOOL",04M495,373,376,379
-73.948488,40.793649,"CENTRAL PARK EAST HIGH SCHOOL",04M555,405,395,421
-73.947171,40.792932,"YOUNG WOMEN'S LEADERSHIP SCHOOL",04M610,432,448,446
-73.946879,40.791966,"HERITAGE SCHOOL, THE",04M680,358,345,351
-73.939974,40.807692,"HARLEM RENAISSANCE HIGH SCHOOL",05M285,357,333,318
-73.947151,40.817228,"MOTT HALL HIGH SCHOOL",05M304,413,398,399
-73.955722,40.810793,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",05M362,s,s,s
-73.95552,40.815747,"ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL",05M367,354,342,366
-73.95552,40.815747,"URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS",05M369,360,364,353
-73.938714,40.807019,"CHOIR ACADEMY OF HARLEM",05M469,354,385,360
-73.935746,40.823988,"FREDERICK DOUGLASS ACADEMY",05M499,458,442,474
-73.944299,40.815237,"THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE",05M670,396,404,402
-73.947151,40.817228,"BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL",05M685,369,355,361
-73.950354,40.820208,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",05M692,605,588,654
-73.930082,40.860951,"CITY COLLEGE ACADEMY OF THE ARTS",06M293,408,416,446
-73.942074,40.833695,"COMMUNITY HEALTH ACADEMY OF THE HEIGHTS",06M346,362,367,376
-73.930991,40.849311,"WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",06M348,380,399,395
-73.925464,40.865556,"HIGH SCHOOL FOR EXCELLENCE AND INNOVATION",06M423,s,s,s
-73.92606,40.856532,"HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE",06M462,365,378,384
-73.92606,40.856532,"HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",06M463,369,349,380
-73.92606,40.856532,"HIGH SCHOOL FOR LAW AND PUBLIC SERVICE",06M467,363,361,378
-73.92606,40.856532,"HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES",06M468,400,402,422
-73.949929,40.8185,"A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL",06M540,430,423,456
-73.9383,40.8381,"GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS",06M552,339,326,349
-73.920851,40.813612,"SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",07X221,364,348,378
-73.912014,40.816962,"CROTONA ACADEMY HIGH SCHOOL",07X321,379,382,364
-73.918774,40.810314,"INTERNATIONAL COMMUNITY HIGH SCHOOL",07X334,310,311,324
-73.905389,40.818703,"JILL CHAIFETZ TRANSFER HIGH SCHOOL",07X379,s,s,s
-73.919949,40.818645,"BRONX HAVEN HIGH SCHOOL",07X381,s,s,s
-73.92996,40.815712,"COMMUNITY SCHOOL FOR SOCIAL JUSTICE",07X427,361,357,359
-73.911633,40.818041,"MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL",07X473,351,371,375
-73.911633,40.818041,"UNIVERSITY HEIGHTS SECONDARY SCHOOL",07X495,403,404,394
-73.912038,40.814857,"HOSTOSsLINCOLN ACADEMY OF SCIENCE",07X500,420,411,426
-73.909363,40.811051,"FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES",07X520,399,391,396
-73.922366,40.821828,"BRONX LEADERSHIP ACADEMY II HIGH SCHOOL",07X527,362,363,378
-73.922366,40.821828,"NEW EXPLORERS HIGH SCHOOL",07X547,367,361,356
-73.922366,40.821828,"URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS",07X548,387,383,411
-73.925995,40.813681,"BRONX ACADEMY OF LETTERS",07X551,413,407,381
-73.919949,40.818645,"ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",07X600,394,364,400
-73.92996,40.815712,"HEALTH OPPORTUNITIES HIGH SCHOOL",07X670,363,364,368
-73.892961,40.820388,"BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS",08X269,s,s,s
-73.85607,40.815043,"WOMEN'S ACADEMY OF EXCELLENCE",08X282,407,378,386
-73.839583,40.839775,"RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY",08X293,384,389,385
-73.85593,40.821218,"PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES",08X305,337,340,361
-73.85593,40.821218,"MILLENNIUM ART ACADEMY",08X312,387,375,402
-73.897876,40.817741,"HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH",08X332,363,350,371
-73.85607,40.815043,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",08X367,s,s,s
-73.85593,40.821218,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",08X376,s,s,s
-73.85593,40.821218,"BRONX COMMUNITY HIGH SCHOOL",08X377,367,376,369
-73.839583,40.839775,"HERBERT H. LEHMAN HIGH SCHOOL",08X405,412,393,436
-73.85593,40.821218,"BRONX BRIDGES HIGH SCHOOL",08X432,s,s,s
-73.85593,40.821218,"BRONX GUILD",08X452,369,365,371
-73.881187,40.820486,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",08X519,373,356,370
-73.897876,40.817741,"BANANA KELLY HIGH SCHOOL",08X530,373,377,381
-73.881187,40.820486,"BRONX ARENA HIGH SCHOOL",08X537,s,s,s
-73.911366,40.839307,"BRONX EXPEDITIONARY LEARNING HIGH SCHOOL",09X227,324,349,376
-73.897479,40.845366,"EAGLE ACADEMY FOR YOUNG MEN",09X231,373,374,387
-73.901774,40.839508,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",09X241,411,415,464
-73.902794,40.833884,"EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL",09X250,393,382,394
-73.901774,40.839508,"MOTT HALL BRONX HIGH SCHOOL",09X252,369,356,367
-73.902794,40.833884,"BRONX CENTER FOR SCIENCE AND MATHEMATICS",09X260,459,457,480
-73.901774,40.839508,"VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL",09X263,356,356,363
-73.897943,40.841758,"LEADERSHIP INSTITUTE",09X276,361,367,353
-73.90392,40.827455,"MORRIS ACADEMY FOR COLLABORATIVE STUDIES",09X297,386,376,386
-73.917705,40.828009,"BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING",09X324,s,s,s
-73.911366,40.839307,"DREAMYARD PREPARATORY SCHOOL",09X329,382,391,365
-73.915217,40.849416,"ACADEMY FOR LANGUAGE AND TECHNOLOGY",09X365,315,297,339
-73.90392,40.827455,"BRONX INTERNATIONAL HIGH SCHOOL",09X403,314,339,312
-73.90392,40.827455,"SCHOOL FOR EXCELLENCE",09X404,363,351,360
-73.911366,40.839307,"BRONX HIGH SCHOOL OF BUSINESS",09X412,356,351,376
-73.911366,40.839307,"BRONX HIGH SCHOOL FOR MEDICAL SCIENCE",09X413,400,402,419
-73.911366,40.839307,"JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",09X414,379,379,364
-73.919024,40.827461,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",09X505,404,402,418
-73.903951,40.833493,"FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL",09X517,368,369,384
-73.902969,40.84325,"BRONX LEADERSHIP ACADEMY HIGH SCHOOL",09X525,384,388,394
-73.90392,40.827455,"HIGH SCHOOL FOR VIOLIN AND DANCE",09X543,353,371,315
-73.914141,40.887407,"RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)",10X141,438,440,455
-73.912686,40.877379,"BRONX ENGINEERING AND TECHNOLOGY ACADEMY",10X213,373,365,412
-73.897404,40.854257,"THEATRE ARTS PRODUCTION COMPANY SCHOOL",10X225,405,394,391
-73.901565,40.875636,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",10X237,382,382,393
-73.888625,40.859466,"WEST BRONX ACADEMY FOR THE FUTURE",10X243,382,370,406
-73.897066,40.869061,"KINGSBRIDGE INTERNATIONAL HIGH SCHOOL",10X268,304,302,356
-73.912686,40.877379,"BRONX SCHOOL OF LAW AND FINANCE",10X284,402,385,395
-73.893744,40.848385,"PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL",10X319,s,s,s
-73.897066,40.869061,"INTERNATIONAL SCHOOL FOR LIBERAL ARTS",10X342,300,301,333
-73.913694,40.877935,"INsTECH ACADEMY (M.S. / HIGH SCHOOL 368)",10X368,390,383,408
-73.888625,40.859466,"KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA)",10X374,392,387,401
-73.912686,40.877379,"ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS)",10X397,343,330,356
-73.897066,40.869061,"HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS",10X433,370,365,371
-73.888625,40.859466,"BELMONT PREPARATORY HIGH SCHOOL",10X434,404,400,418
-73.888625,40.859466,"FORDHAM HIGH SCHOOL FOR THE ARTS",10X437,355,372,350
-73.888625,40.859466,"FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY",10X438,367,367,385
-73.888625,40.859466,"BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE",10X439,366,352,364
-73.889011,40.879958,"DEWITT CLINTON HIGH SCHOOL",10X440,419,410,426
-73.897066,40.869061,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",10X442,423,427,420
-73.889011,40.879958,"BRONX HIGH SCHOOL OF SCIENCE",10X445,632,649,688
-73.912686,40.877379,"MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES",10X477,414,414,435
-73.912686,40.877379,"BRONX THEATRE HIGH SCHOOL",10X546,348,354,362
-73.897066,40.869061,"DISCOVERY HIGH SCHOOL",10X549,372,364,379
-73.895543,40.874725,"HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE",10X696,636,636,648
-73.831669,40.874035,"BRONX HEALTH SCIENCES HIGH SCHOOL",11X249,370,382,381
-73.861649,40.875172,"BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS",11X253,400,390,357
-73.861649,40.875172,"BRONX LAB SCHOOL",11X265,377,367,391
-73.852714,40.888242,"ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL",11X270,386,361,394
-73.861649,40.875172,"HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY",11X275,381,354,376
-73.860729,40.860443,"COLLEGIATE INSTITUTE FOR MATH AND SCIENCE",11X288,444,433,471
-73.861649,40.875172,"BRONX ACADEMY OF HEALTH CAREERS",11X290,387,383,365
-73.860729,40.860443,"ASTOR COLLEGIATE ACADEMY",11X299,387,391,391
-73.864438,40.851577,"BRONX HIGH SCHOOL FOR THE VISUAL ARTS",11X418,419,416,433
-73.831669,40.874035,"HARRY S TRUMAN HIGH SCHOOL",11X455,386,368,397
-73.852714,40.888242,"NEW WORLD HIGH SCHOOL",11X513,332,335,381
-73.852714,40.888242,"THE BRONXWOOD PREPARATORY ACADEMY",11X514,377,363,372
-73.860729,40.860443,"PELHAM PREPARATORY ACADEMY",11X542,431,419,438
-73.861649,40.875172,"HIGH SCHOOL FOR CONTEMPORARY ARTS",11X544,383,365,378
-73.861649,40.875172,"BRONX AEROSPACE HIGH SCHOOL",11X545,388,382,393
-73.896925,40.827539,"METROPOLITAN HIGH SCHOOL, THE",12X248,347,341,367
-73.890591,40.836245,"EXPLORATIONS ACADEMY",12X251,381,360,381
-73.900593,40.826933,"BRONX LATIN",12X267,408,411,432
-73.887688,40.836821,"EAST BRONX ACADEMY FOR THE FUTURE",12X271,366,358,378
-73.896925,40.827539,"PEACE AND DIVERSITY ACADEMY",12X278,390,364,401
-73.878191,40.832508,"PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE",12X388,321,298,351
-73.898265,40.823124,"ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX",12X446,380,349,372
-73.878191,40.832508,"THE CINEMA SCHOOL",12X478,s,s,s
-73.900593,40.826933,"BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL",12X479,s,s,s
-73.898265,40.823124,"BRONX REGIONAL HIGH SCHOOL",12X480,398,398,385
-73.878191,40.832508,"HIGH SCHOOL OF WORLD CULTURES",12X550,304,312,323
-73.885804,40.831212,"FANNIE LOU HAMER FREEDOM HIGH SCHOOL",12X682,342,341,346
